TILEID,PROGRAM,SURVEY,PETALID,H,N_GAL,N_STAR,N_QSO,N_GOOD_Z
21184,bright,main,0,0.986339274807899,364,56,4,424
21184,bright,main,1,0.9943514117172828,325,55,2,382
21184,bright,main,2,0.9876833537727443,375,42,3,420
21184,bright,main,3,0.9924941246273916,333,43,1,377
21184,bright,main,4,0.9914749433437152,339,49,3,391
21184,bright,main,5,0.9900655533107818,364,34,2,400
21184,bright,main,6,0.9930614789123742,329,32,2,363
21184,bright,main,7,0.9888986943339283,283,58,0,341
21184,bright,main,8,0.9939996162495803,327,68,2,397
21184,bright,main,9,0.9958330344760437,332,70,3,405
21202,bright,main,0,0.993420463530659,335,79,0,414
21202,bright,main,1,0.9912774034098942,330,61,3,394
21202,bright,main,2,0.9946638137860788,351,61,3,415
21202,bright,main,3,0.9908455403893395,311,67,1,379
21202,bright,main,4,0.9913983264711222,312,65,5,382
21202,bright,main,5,0.9921798119223445,331,60,1,392
21202,bright,main,6,0.9873418920237305,294,57,3,354
21202,bright,main,7,0.9907453175485786,278,64,2,344
21202,bright,main,8,0.9942082541779715,365,47,3,415
21202,bright,main,9,0.9935695367140248,337,65,7,409
21196,bright,main,0,0.9854944207623539,280,116,4,400
21196,bright,main,1,0.9836780493845121,149,29,3,181
21196,bright,main,2,0.9927738274817296,348,53,4,405
21196,bright,main,3,0.9945531428921615,274,84,2,360
21196,bright,main,4,0.9930762459173205,329,52,3,384
21196,bright,main,5,0.9949853640324992,318,70,1,389
21196,bright,main,6,0.9884031090465054,304,51,4,359
21196,bright,main,7,0.996574090598602,295,51,3,349
21196,bright,main,8,0.9881861614532486,356,51,5,412
21196,bright,main,9,0.9962276307897207,300,92,3,395
1404,dark,main,0,0.993479963740401,256,34,86,376
1404,dark,main,1,0.99194201594641,237,35,88,360
1404,dark,main,2,0.992497906908451,249,46,82,377
1404,dark,main,3,0.991989683182334,221,32,87,340
1404,dark,main,4,0.9941367951523735,237,30,79,346
1404,dark,main,5,0.9856940447409713,238,30,86,354
1404,dark,main,6,0.9916112897153678,207,42,73,322
1404,dark,main,7,0.9922234879717204,221,36,67,324
1404,dark,main,8,0.992663001410554,235,36,92,363
1404,dark,main,9,0.9913138284078846,248,36,91,375
20240,bright,main,0,0.9947012057151419,359,75,2,436
