TILEID,PROGRAM,SURVEY,PETALID,H,N_GAL,N_STAR,N_QSO,N_GOOD_Z
21184,bright,main,0,0.9548345367594003,364,56,4,424
21184,bright,main,1,0.9699706114481356,325,55,2,382
21184,bright,main,2,0.9692061704365048,375,42,3,420
21184,bright,main,3,0.9792372149505532,333,43,1,377
21184,bright,main,4,0.9598307207370592,339,49,3,391
21184,bright,main,5,0.9611397816366704,364,34,2,400
21184,bright,main,6,0.9377766373809473,329,32,2,363
21184,bright,main,7,0.9530151696921497,283,58,0,341
21184,bright,main,8,0.9491179440577188,327,68,2,397
21184,bright,main,9,0.9668802230133401,332,70,3,405
21202,bright,main,0,0.9457206041908949,335,79,0,414
21202,bright,main,1,0.9505372975899391,330,61,3,394
21202,bright,main,2,0.9614321947008525,351,61,3,415
21202,bright,main,3,0.9506476620853394,311,67,1,379
21202,bright,main,4,0.9346786833875659,312,65,5,382
21202,bright,main,5,0.9782869998415595,331,60,1,392
21202,bright,main,6,0.9431608071037619,294,57,3,354
21202,bright,main,7,0.9486447583058638,278,64,2,344
21202,bright,main,8,0.9694193823415281,365,47,3,415
21202,bright,main,9,0.9531085358481043,337,65,7,409
21196,bright,main,0,0.9716474191871372,280,116,4,400
21196,bright,main,1,0.9316539402844748,149,29,3,181
21196,bright,main,2,0.9669872777917226,348,53,4,405
21196,bright,main,3,0.9698432227322261,274,84,2,360
21196,bright,main,4,0.9662293095792328,329,52,3,384
21196,bright,main,5,0.9570242333619291,318,70,1,389
21196,bright,main,6,0.9503549598726254,304,51,4,359
21196,bright,main,7,0.9450243099333563,295,51,3,349
21196,bright,main,8,0.9688133541204192,356,51,5,412
21196,bright,main,9,0.9762710035171817,300,92,3,395
1404,dark,main,0,0.9615271019192222,256,34,86,376
1404,dark,main,1,0.9840574202222143,237,35,88,360
1404,dark,main,2,0.9629485389425984,249,46,82,377
1404,dark,main,3,0.97904703744873,221,32,87,340
1404,dark,main,4,0.9591161865547827,237,30,79,346
1404,dark,main,5,0.9503352553514495,238,30,86,354
1404,dark,main,6,0.9510330964059629,207,42,73,322
1404,dark,main,7,0.958838635777719,221,36,67,324
1404,dark,main,8,0.9602632076428362,235,36,92,363
1404,dark,main,9,0.9587791494898401,248,36,91,375
20240,bright,main,0,0.9704692911099871,359,75,2,436
20240,bright,main,1,0.9406672427976975,299,76,7,382
20240,bright,main,2,0.9609052972026808,340,79,3,422
20240,bright,main,3,0.9702133575305788,297,89,0,386
20240,bright,main,4,0.9449536304918952,298,88,3,389
20240,bright,main,5,0.9532318170467398,322,72,4,398
20240,bright,main,6,0.9623204106686357,309,61,4,374
20240,bright,main,7,0.9609004099267717,295,57,6,358
20240,bright,main,8,0.9738660997825935,353,62,3,418
20240,bright,main,9,0.9845285485849588,373,47,6,426
1751,dark,main,0,0.9351549804177353,264,21,92,377
1751,dark,main,1,0.930446599881297,248,23,75,346
1751,dark,main,2,0.9569117919824791,271,16,89,376
1751,dark,main,3,0.9590618573552531,264,18,81,363
1751,dark,main,4,0.943366157128897,254,25,80,359
1751,dark,main,5,0.9590076261532547,260,21,86,367
1751,dark,main,6,0.9580138489730731,214,23,92,329
1751,dark,main,7,0.9680004596469372,217,17,84,318
1751,dark,main,8,0.9586082601427982,259,22,84,365
1751,dark,main,9,0.9603156277428259,280,21,72,373
2175,dark,main,0,0.9766654402436973,278,15,97,390
2175,dark,main,1,0.9599024665303563,246,13,94,353
2175,dark,main,2,0.9523849038204916,264,12,122,398
2175,dark,main,3,0.9602970320112469,273,12,80,365
2175,dark,main,4,0.9601564238331619,264,15,85,364
2175,dark,main,5,0.9398813028142542,290,18,66,374
2175,dark,main,6,0.9533745849307552,249,14,75,338
2175,dark,main,7,0.9426547461662964,266,11,66,343
2175,dark,main,8,0.9587484682711472,245,17,105,367
2175,dark,main,9,0.9519001186535885,280,11,101,392
1750,dark,main,0,0.9781011445652747,287,23,79,389
1750,dark,main,1,0.9436993917160557,242,13,79,334
1750,dark,main,2,0.9672930600702143,251,29,68,348
1750,dark,main,3,0.9558399052419069,225,31,92,348
1750,dark,main,4,0.976538030456772,247,13,98,358
1750,dark,main,5,0.9695991943000085,244,30,79,353
1750,dark,main,6,0.9195474653244667,216,30,67,313
1750,dark,main,7,0.9559008486676066,238,22,66,326
1750,dark,main,8,0.958717910667042,270,23,81,374
1750,dark,main,9,0.9452384259112674,278,21,78,377
20654,bright,main,0,0.9424489091186072,345,68,2,415
20654,bright,main,1,0.9424489091186072,345,68,2,415
20654,bright,main,2,0.9470630699779296,371,42,2,415
20654,bright,main,3,0.96290988511066,310,64,0,374
20654,bright,main,4,0.9719970306486797,329,45,2,376
20654,bright,main,5,0.9619955124063644,308,66,2,376
20654,bright,main,6,0.973400904444007,308,46,6,360
20654,bright,main,7,0.960175137972655,266,60,1,327
20654,bright,main,8,0.9598343851152733,336,54,4,394
20654,bright,main,9,0.9650601054489041,355,50,4,409
20257,bright,main,0,0.9647619791377178,336,82,1,419
20257,bright,main,1,0.947608606217828,293,85,2,380
20257,bright,main,2,0.9623704556748037,384,34,0,418
20257,bright,main,3,0.9610985619258029,340,48,4,392
20257,bright,main,4,0.9575541624795932,338,54,4,396
20257,bright,main,5,0.9599738416235032,330,64,4,398
20257,bright,main,6,0.9761083510799035,290,61,1,352
20257,bright,main,7,0.9538839928422815,252,91,3,346
20257,bright,main,8,0.9597739748461939,312,100,4,416
20257,bright,main,9,0.9509788561771918,368,53,4,425
20377,bright,main,0,0.9428476671475048,354,50,6,410
20377,bright,main,1,0.9317231852440545,334,41,0,375
20377,bright,main,2,0.9445296463346777,322,61,1,384
20377,bright,main,3,0.962113142521354,298,63,2,363
20377,bright,main,4,0.9635855335267999,309,55,5,369
