TILEID,PROGRAM,SURVEY,LASTNIGHT,PETALID,H,H_TILE,N_GAL,N_STAR,N_QSO,N_GOOD_Z
1774,dark,main,20210528,0,0.9909188239917216,0.9989121743256767,291,15,76,382
1774,dark,main,20210528,1,0.9941854142045127,0.9989121743256767,255,14,85,354
1774,dark,main,20210528,2,0.9899360065284695,0.9989121743256767,271,15,91,377
1774,dark,main,20210528,3,0.9910373831790092,0.9989121743256767,248,12,74,334
1774,dark,main,20210528,4,0.992027916091249,0.9989121743256767,261,12,82,355
1774,dark,main,20210528,5,0.9949910171529852,0.9989121743256767,278,14,80,372
1774,dark,main,20210528,6,0.9919142645856504,0.9989121743256767,243,12,69,324
1774,dark,main,20210528,7,0.9904681265629751,0.9989121743256767,234,13,74,321
1774,dark,main,20210528,8,0.9927158033851221,0.9989121743256767,259,14,96,369
1774,dark,main,20210528,9,0.992590793013977,0.9989121743256767,285,18,82,385
20096,bright,main,20210608,0,0.9920262915909133,0.9992274611025492,325,110,2,437
20096,bright,main,20210608,1,0.9948485518309969,0.9992274611025492,335,64,1,400
20096,bright,main,20210608,2,0.9938969808597948,0.9992274611025492,372,62,0,434
20096,bright,main,20210608,3,0.9893168456052543,0.9992274611025492,353,44,2,399
20096,bright,main,20210608,4,0.9955354536794199,0.9992274611025492,321,88,1,410
20096,bright,main,20210608,5,0.997332940906042,0.9992274611025492,334,80,1,415
20096,bright,main,20210608,6,0.9966051950302365,0.9992274611025492,277,90,1,368
20096,bright,main,20210608,7,0.9862899373950588,0.9992274611025492,273,85,3,361
20096,bright,main,20210608,8,0.9943666806098334,0.9992274611025492,322,99,4,425
20096,bright,main,20210608,9,0.9882166808722592,0.9992274611025492,306,126,3,435
20093,bright,main,20210608,0,0.9841851853403946,0.9990215991502612,347,88,3,438
20093,bright,main,20210608,1,0.9908459460685868,0.9990215991502612,315,81,3,399
20093,bright,main,20210608,2,0.9954475406636105,0.9990215991502612,351,81,1,433
20093,bright,main,20210608,3,0.9926578562003652,0.9990215991502612,297,101,2,400
20093,bright,main,20210608,4,0.9932955687811034,0.9990215991502612,260,140,3,403
20093,bright,main,20210608,5,0.9915301968402094,0.9990215991502612,322,84,2,408
20093,bright,main,20210608,6,0.9918243022366671,0.9990215991502612,276,89,3,368
20093,bright,main,20210608,7,0.988622035389513,0.9990215991502612,299,59,3,361
20093,bright,main,20210608,8,0.993123419407733,0.9990215991502612,336,82,5,423
20093,bright,main,20210608,9,0.9915705305225507,0.9990215991502612,315,101,4,420
1914,dark,main,20210609,0,0.9861859992591285,0.9990315839836394,265,35,70,370
1914,dark,main,20210609,1,0.9924560530108643,0.9990315839836394,245,29,81,355
1914,dark,main,20210609,2,0.9892165981401698,0.9990315839836394,235,62,72,369
1914,dark,main,20210609,3,0.9965562948002892,0.9990315839836394,242,34,79,355
1914,dark,main,20210609,4,0.9847903793939283,0.9990315839836394,238,38,71,347
1914,dark,main,20210609,5,0.9897654609286183,0.9990315839836394,246,39,81,366
1914,dark,main,20210609,6,0.9951517327488821,0.9990315839836394,222,25,72,319
1914,dark,main,20210609,7,0.9922735939834278,0.9990315839836394,223,31,56,310
1914,dark,main,20210609,8,0.991510338143611,0.9990315839836394,244,36,77,357
1914,dark,main,20210609,9,0.9929367964610615,0.9990315839836394,256,38,72,366
1431,dark,main,20210611,0,0.9909668666989191,0.998336988904646,254,30,97,381
1431,dark,main,20210611,1,0.9838861020499744,0.998336988904646,241,25,89,355
1431,dark,main,20210611,2,0.9874716515735672,0.998336988904646,253,27,94,374
1431,dark,main,20210611,3,0.9908939061298739,0.998336988904646,239,20,81,340
1431,dark,main,20210611,4,0.9916378104699904,0.998336988904646,265,22,72,359
1431,dark,main,20210611,5,0.9893061506780505,0.998336988904646,256,25,79,360
1431,dark,main,20210611,6,0.9835601806286266,0.998336988904646,202,19,88,309
1431,dark,main,20210611,7,0.9912817626460395,0.998336988904646,224,29,69,322
1431,dark,main,20210611,8,0.9915146681934747,0.998336988904646,277,17,82,376
1431,dark,main,20210611,9,0.9915146681934747,0.998336988904646,277,17,82,376
1920,dark,main,20210611,0,0.9930626892440069,0.9982151474397492,269,43,80,392
1920,dark,main,20210611,1,0.989533186090114,0.9982151474397492,231,38,100,369
1920,dark,main,20210611,2,0.9927741299000107,0.9982151474397492,275,44,80,399
1920,dark,main,20210611,3,0.9902537989906082,0.9982151474397492,227,54,81,362
1920,dark,main,20210611,4,0.9914530885639907,0.9982151474397492,263,39,71,373
1920,dark,main,20210611,5,0.9945497190968363,0.9982151474397492,268,39,79,386
1920,dark,main,20210611,6,0.993168600043086,0.9982151474397492,221,24,92,337
1920,dark,main,20210611,7,0.9905182589022941,0.9982151474397492,213,33,79,325
1920,dark,main,20210611,8,0.9907824407639163,0.9982151474397492,276,36,85,397
1920,dark,main,20210611,9,0.9905690673365699,0.9982151474397492,274,30,72,376
20086,bright,main,20210613,0,0.993487527223373,0.9992225207026495,372,62,1,435
20086,bright,main,20210613,1,0.9959413987092646,0.9992225207026495,354,39,2,395
20086,bright,main,20210613,2,0.9943864042077455,0.9992225207026495,337,86,4,427
20086,bright,main,20210613,3,0.987862710204715,0.9992225207026495,334,63,2,399
20086,bright,main,20210613,4,0.9902318181146804,0.9992225207026495,318,70,5,393
20086,bright,main,20210613,5,0.9933108322154395,0.9992225207026495,354,59,3,416
20086,bright,main,20210613,6,0.9972027589914572,0.9992225207026495,296,68,1,365
20086,bright,main,20210613,7,0.9889681588210716,0.9992225207026495,308,49,3,360
20086,bright,main,20210613,8,0.9859938049080237,0.9992225207026495,370,50,2,422
20086,bright,main,20210613,9,0.9859938049080237,0.9992225207026495,370,50,2,422
20392,bright,main,20210613,0,0.9927124970088627,0.9982950070464517,327,97,8,432
20392,bright,main,20210613,1,0.9942233661595928,0.9982950070464517,297,101,4,402
20392,bright,main,20210613,2,0.9923565881440037,0.9982950070464517,315,108,6,429
20392,bright,main,20210613,3,0.9925240448524788,0.9982950070464517,264,112,4,380
20392,bright,main,20210613,4,0.9924726496504841,0.9982950070464517,288,81,6,375
20392,bright,main,20210613,5,0.991404112231432,0.9982950070464517,334,85,3,422
20392,bright,main,20210613,6,0.9965551889782134,0.9982950070464517,283,83,4,370
20392,bright,main,20210613,7,0.9962542065378596,0.9982950070464517,291,74,4,369
20392,bright,main,20210613,8,0.9918571752264342,0.9982950070464517,321,104,4,429
20392,bright,main,20210613,9,0.9918571752264342,0.9982950070464517,321,104,4,429
20844,bright,main,20210615,0,0.9951348782445961,0.9991221789418175,308,132,1,441
