#FIBER POSITIONER NUMTARTET OBJTYPE TARGETID DESITARGET0 RA DEC XFOCAL_DESIGN YFOCAL_DESIGN
0 1 11 GAL 322 256 1.018538 0.233551 23.152325 5.519666
1 2 5 OTHER 3028 256 1.792934 0.146703 31.977258 9.400423
2 3 7 OTHER 711 256 0.422769 1.161368 34.964509 2.641368
3 4 15 OTHER 81 256 1.017925 0.320594 47.512978 13.964063
4 5 4 STDSTAR 1075 256 1.036167 0.345267 53.182995 5.345608
5 6 4 STDSTAR 9670 256 1.490214 0.881826 46.061143 24.884948
6 7 3 OTHER 263 256 0.787179 0.433005 51.828624 18.033886
7 8 6 STDSTAR 2740 256 0.766053 0.657148 56.883296 9.994091
8 9 5 ELG 1951 256 0.269032 0.910727 50.184909 29.286750
9 10 4 ELG 6364 256 1.474453 0.992130 58.588751 27.091220
10 11 5 GAL 2854 256 1.734161 0.113949 66.428700 16.618117
11 12 5 STDSTAR 4648 256 0.722459 0.708451 68.467913 5.132091
12 13 1 QSO 7368 256 0.182229 0.427619 67.061781 34.407090
13 14 6 GAL 5447 256 0.826225 0.743451 68.966681 17.410077
14 15 7 QSO 4932 256 0.491703 0.287784 78.778088 15.404510
15 16 3 ELG 6616 256 1.571380 0.770779 74.227580 3.957513
16 17 8 STDSTAR 292 256 1.025371 1.143811 67.135366 45.539928
17 18 2 OTHER 939 256 0.346184 0.765021 79.217185 34.163409
18 19 7 ELG 8397 256 0.474375 0.565344 80.727419 22.573539
19 20 3 GAL 1829 256 0.098184 1.009261 82.546809 10.681288
20 21 3 OTHER 1537 256 1.778276 0.659550 81.367224 43.657106
21 22 4 LRG 6921 256 0.856033 0.592613 93.950877 5.570403
22 23 4 QSO 2838 256 0.428354 0.041486 87.097909 37.692860
23 24 7 QSO 4514 256 1.108715 0.272338 89.001622 26.468400
24 25 8 STDSTAR 1498 256 1.001174 0.945447 98.497405 11.458047
25 26 5 LRG 4775 256 1.188339 0.827503 83.236361 46.726561
26 27 9 ELG 651 256 0.046605 0.399925 89.080283 41.859250
27 28 7 GAL 2313 256 0.408003 0.886697 103.925058 1.692148
28 29 7 ELG 900 256 0.234414 1.089407 96.484055 36.898567
29 30 5 QSO 2244 256 1.259966 0.027599 104.074612 27.535884
30 31 4 ELG 19726 256 0.827858 1.179032 109.465203 12.586185
31 32 3 LRG 9533 256 1.607390 0.947055 100.772590 47.987725
32 33 7 ELG 4788 256 0.227879 0.667201 87.479030 59.975956
33 34 3 OTHER 1495 256 0.383751 1.026785 104.680590 39.739235
34 35 8 OTHER 1937 256 0.646204 0.833949 102.246945 33.399300
35 36 10 GAL 129 256 0.430577 0.630819 107.308297 0.539277
36 37 2 OTHER 4349 256 1.457293 0.651116 114.919811 19.143999
37 38 4 STDSTAR 3058 256 0.676247 0.284401 100.569742 56.348510
38 39 6 OTHER 2033 256 0.240302 0.408530 116.380052 11.048490
39 40 10 OTHER 517 256 0.351432 0.682489 111.876338 51.049111
40 41 2 GAL 15418 256 1.372888 0.332599 109.592755 39.889848
41 42 9 OTHER 2271 256 0.418239 0.064460 114.403394 29.765463
42 43 0 SKY -1 256 -1.000000 100.000000 121.479689 5.209055
43 44 4 STDSTAR 3230 256 0.615587 0.805539 118.820907 25.712386
44 45 3 QSO 1436 256 0.907265 0.071671 114.598701 58.235586
45 46 6 LRG 563 256 0.948886 1.172189 100.971600 66.621372
46 47 8 GAL 3192 256 1.623163 0.533580 116.743380 45.555304
47 48 6 QSO 7911 256 1.509315 0.149038 123.063356 15.899316
48 49 8 LRG 10134 256 1.656621 1.060582 117.167697 37.549437
49 50 4 OTHER 1477 256 1.016567 1.148450 127.245678 29.858636
50 51 7 ELG 3252 256 0.121007 0.366726 130.100340 2.801699
51 52 7 GAL 5290 256 1.021464 0.977113 133.764538 22.002036
52 53 3 LRG 1088 256 0.755494 1.067892 119.864276 73.318768
53 54 6 STDSTAR 1728 256 1.569826 0.527870 122.000903 62.929356
54 55 6 STDSTAR 4474 256 0.711118 1.160356 126.701080 47.317674
55 56 10 QSO 4491 256 1.717471 0.153423 139.327658 13.773071
56 57 4 STDSTAR 2463 256 1.481044 0.344401 137.344662 43.748044
57 58 3 LRG 11810 256 0.880024 0.995279 134.967536 28.284351
58 59 8 OTHER 261 256 0.524998 1.053239 139.338638 4.119897
59 60 8 OTHER 4446 256 1.474262 0.756713 142.408569 25.174199
60 61 8 ELG 1592 256 0.242368 1.113145 127.228890 65.976161
61 62 7 GAL 1068 256 1.211851 0.095649 120.013306 77.803015
62 63 6 QSO 7835 256 0.339976 1.181145 129.461972 60.277628
63 64 1 LRG 12024 256 0.492951 1.006316 134.879125 55.066158
64 65 8 ELG 1236 256 0.396426 0.102763 148.961969 9.405226
65 66 8 STDSTAR 6721 256 0.661321 0.086623 144.782935 43.645836
66 67 4 OTHER 6142 256 0.384662 0.196815 150.912195 28.642534
